real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
BASE,2.83283,3.56135,4.02968,4.37549,6.85135,3.13022,2.91074,2.66001,1.43667,0.598585,2.04248,2.76867,3.23711,3.58319,5.82914,3.05926,2.83992,2.57392,1.4353,0.598495
20,2.65827,3.35674,3.81232,4.15101,6.67954,3.04496,2.82601,2.59245,1.43153,0.597179,1.8711,2.56569,3.0211,3.35999,5.65928,2.97413,2.75533,2.50698,1.42988,0.597071
35,2.51888,3.13467,3.52155,3.80426,5.68205,2.60596,2.4313,2.20639,1.14528,0.476331,1.88902,2.50439,2.89156,3.17451,4.86913,2.54955,2.37496,2.13739,1.1445,0.476279
42,2.73954,3.48173,3.98812,4.37336,7.61545,3.44905,3.18286,2.94941,1.73257,0.726122,1.79138,2.52038,3.0246,3.40945,6.37281,3.3627,3.09683,2.84727,1.72935,0.725907
25,2.16705,2.67955,3.06377,3.38057,7.5397,3.33172,3.00815,2.84387,2.03449,0.882818,1.09855,1.55116,1.90759,2.21056,6.00886,3.22452,2.90259,2.73021,2.01924,0.881739
22,2.48606,3.126,3.53762,3.84162,6.02177,2.75097,2.55789,2.3379,1.26381,0.526584,1.79081,2.42866,2.84037,3.1446,5.12251,2.68854,2.49558,2.26219,1.26258,0.526503
36,2.46756,3.12648,3.56303,3.89008,6.43767,2.92798,2.71201,2.49721,1.41002,0.589063,1.69303,2.34611,2.78209,3.10921,5.43074,2.85805,2.64227,2.41337,1.40809,0.588935
1,3.35837,4.13249,4.61034,4.95688,7.10016,3.26748,3.05744,2.7564,1.37883,0.572752,2.60085,3.37527,3.85352,4.20033,6.12312,3.19969,2.98973,2.673,1.37814,0.572707
38,3.08074,3.86789,4.44867,4.91545,10.0321,4.47827,4.08016,3.83934,2.54898,1.08633,1.72214,2.44979,3.01119,3.47019,8.16145,4.34784,3.95091,3.6941,2.53746,1.08554
0,2.56816,3.24851,3.69546,4.02889,6.56764,2.99078,2.77317,2.54844,1.42189,0.593541,1.7866,2.46222,2.90883,3.24241,5.55336,2.92036,2.70291,2.46371,1.42011,0.593424
2,3.19549,3.88558,4.30574,4.6087,6.35197,2.93245,2.75142,2.46472,1.18946,0.493638,2.54286,3.23348,3.65397,3.95712,5.51016,2.87405,2.69307,2.39257,1.18902,0.49361
3,2.26536,2.80084,3.20228,3.53332,7.88466,3.48391,3.14536,2.97364,2.12837,0.923687,1.14762,1.6204,1.9927,2.3092,6.28287,3.37173,3.03491,2.85474,2.11236,0.922555
4,2.2674,2.85317,3.23076,3.50991,5.52473,2.52304,2.34527,2.14485,1.1634,0.484834,1.62742,2.21108,2.58872,2.86808,4.6967,2.46557,2.28791,2.07518,1.16224,0.484758
5,2.43878,2.90202,3.17922,3.37768,4.36996,2.02818,1.9116,1.69344,0.766765,0.317872,2.019,2.48259,2.75994,2.95848,3.82809,1.9906,1.87403,1.64677,0.766612,0.317862
6,2.65034,3.27081,3.65536,3.93472,5.69379,2.61809,2.44804,2.21062,1.11602,0.463713,2.03703,2.65762,3.04249,3.32208,4.90268,2.5632,2.39321,2.14318,1.11542,0.463673
7,2.57322,3.2543,3.74572,4.13312,7.98198,3.58231,3.27944,3.07206,1.95333,0.826359,1.5205,2.16721,2.64953,3.03377,6.56292,3.48352,3.18131,2.95932,1.94681,0.825919
8,1.66907,2.0249,2.24107,2.3968,3.28045,1.51532,1.42248,1.27274,0.610107,0.253165,1.3344,1.69051,1.90684,2.06266,2.84874,1.48538,1.39256,1.23572,0.609899,0.253152
9,1.07251,1.31981,1.47248,1.5832,2.26826,1.04383,0.976715,0.880575,0.440579,0.183013,0.830457,1.07786,1.23065,1.34146,1.95606,1.02217,0.955077,0.853929,0.440358,0.182998
10,2.79328,3.3123,3.62222,3.84392,4.92478,2.28759,2.15763,1.90797,0.854893,0.354361,2.32539,2.84479,3.15486,3.37664,4.32074,2.2457,2.11575,1.85591,0.854739,0.354351
11,2.66844,3.39074,3.88156,4.25415,7.35651,3.33372,3.07801,2.84988,1.66517,0.697537,1.75656,2.46709,2.95606,3.32836,6.163,3.2508,2.99538,2.75159,1.66219,0.697339
12,2.39032,2.99232,3.439,3.80021,7.9004,3.51992,3.20152,3.01635,2.03253,0.868823,1.31099,1.86206,2.29094,2.64467,6.40258,3.41541,3.09807,2.90104,2.02236,0.868124
13,2.75423,3.50094,4.01379,4.4054,7.75963,3.51095,3.23724,3.00382,1.78013,0.746668,1.78121,2.5127,3.02287,3.41392,6.48145,3.42212,3.14876,2.89909,1.77658,0.746432
14,2.76474,3.50845,4.03464,4.44376,8.254,3.71751,3.41386,3.18604,1.96624,0.828428,1.69773,2.41488,2.93504,3.34234,6.83353,3.61871,3.31558,3.07158,1.96095,0.828073
15,2.80593,3.55341,4.08927,4.50971,8.59368,3.86159,3.53896,3.31109,2.0838,0.880245,1.68009,2.39387,2.92127,3.33888,7.08291,3.75645,3.43448,3.19045,2.07734,0.879809
16,1.05884,1.30361,1.4868,1.63854,3.74361,1.64883,1.48429,1.40402,1.02709,0.448834,0.520206,0.73432,0.901767,1.04514,2.96312,1.59407,1.43051,1.34685,1.01815,0.448194
17,2.23278,2.82442,3.25086,3.58677,6.91176,3.10262,2.84082,2.66065,1.68889,0.714312,1.3222,1.88451,2.30325,2.63651,5.68522,3.01724,2.756,2.56312,1.68333,0.713936
18,2.60178,3.25167,3.73512,4.1273,8.66656,3.85713,3.50487,3.30421,2.24474,0.961218,1.41207,2.00378,2.4661,2.8492,7.00834,3.74138,3.39036,3.17716,2.23286,0.960398
19,2.92937,3.70066,4.20458,4.57952,7.39177,3.36879,3.12587,2.86873,1.588,0.662553,2.05623,2.82299,3.32669,3.70184,6.25975,3.2902,3.04746,2.77396,1.58614,0.66243
21,2.81669,3.56923,4.1069,4.52775,8.56999,3.85331,3.5333,3.30366,2.0684,0.873113,1.69782,2.41838,2.94823,3.36652,7.07186,3.74907,3.42967,3.18374,2.06222,0.872697
23,2.52301,3.20671,3.67389,4.0296,7.03508,3.1855,2.93909,2.72436,1.60357,0.672178,1.64568,2.31684,2.78192,3.13724,5.88468,3.10556,2.85945,2.62986,1.60053,0.671976
24,2.33833,2.94329,3.38688,3.74128,7.50387,3.35555,3.062,2.87752,1.88426,0.800985,1.33044,1.89471,2.32589,2.67552,6.1259,3.25952,2.96677,2.76971,1.87652,0.800458
26,1.39212,1.70477,1.93664,2.12941,5.02754,2.20305,1.97409,1.86749,1.41142,0.624311,0.650891,0.922015,1.12948,1.30796,3.93654,2.12624,1.899,1.78912,1.39618,0.623193
27,2.60946,3.31324,3.8087,4.1927,7.71627,3.47815,3.19634,2.98022,1.82634,0.768825,1.61693,2.29772,2.78817,3.17071,6.39842,3.3865,3.10516,2.87369,1.82167,0.768512
28,2.7818,3.46818,3.90089,4.21759,6.34716,2.90922,2.71279,2.46467,1.28767,0.535688,2.07355,2.75925,3.19227,3.50924,5.43286,2.84577,2.64943,2.38716,1.28673,0.535626
29,3.2032,4.03414,4.57117,4.96867,7.85965,3.58792,3.33396,3.05116,1.66169,0.692643,2.28916,3.11679,3.65383,4.05162,6.67663,3.5058,3.252,2.95172,1.65998,0.69253
30,3.41695,3.8423,4.0918,4.26901,4.70839,2.2168,2.11463,1.81497,0.672748,0.27857,3.04987,3.47527,3.72479,3.90202,4.23372,2.18389,2.08172,1.77385,0.672732,0.278569
31,2.82134,3.573,4.06968,4.44127,7.31534,3.32845,3.08398,2.83797,1.5965,0.666793,1.94418,2.68966,3.18577,3.55748,6.17566,3.2493,3.00504,2.74298,1.59437,0.666653
