real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
BASE,3.08147,3.70916,4.08786,4.3599,5.82936,2.69799,2.53691,2.26067,1.05898,0.439233,2.50105,3.12926,3.50822,3.7804,5.08048,2.64605,2.485,2.19632,1.05868,0.439214
20,2.93294,3.54101,3.90879,4.17326,5.62938,2.60351,2.44652,2.1835,1.03189,0.428066,2.36719,2.97576,3.3438,3.60842,4.8995,2.55288,2.39593,2.12082,1.03158,0.428046
15,3.15808,3.79328,4.17587,4.45051,5.91371,2.73846,2.57611,2.29309,1.06745,0.442704,2.57315,3.20887,3.5917,3.86648,5.15894,2.68611,2.52379,2.2282,1.06718,0.442685
32,2.75508,3.27343,3.58332,3.8051,4.90199,2.27593,2.14577,1.89941,0.85612,0.354895,2.28644,2.80518,3.11522,3.33709,4.29702,2.23397,2.10383,1.84728,0.855957,0.354884
17,2.71962,3.20824,3.49916,3.70703,4.68111,2.17712,2.0556,1.81286,0.799487,0.331337,2.28225,2.77119,3.06224,3.27018,4.11635,2.13795,2.01645,1.76414,0.799364,0.331329
33,3.35744,3.99038,4.36884,4.63971,5.98246,2.77737,2.61837,2.31812,1.04583,0.433541,2.78494,3.41835,3.79701,4.06799,5.24343,2.72611,2.56713,2.25444,1.04563,0.433528
35,3.61166,4.29081,4.69681,4.98737,6.42354,2.98243,2.81192,2.48896,1.12156,0.46493,2.99772,3.67738,4.08359,4.37425,5.63101,2.92746,2.75697,2.42067,1.12135,0.464916
42,3.0227,3.71744,4.14599,4.45669,6.37198,2.93281,2.74464,2.47366,1.23534,0.513121,2.34405,3.03909,3.468,3.77893,5.49668,2.87209,2.68398,2.39893,1.23473,0.513081
25,3.22798,3.80887,4.15477,4.40194,5.56241,2.58684,2.44233,2.1542,0.95074,0.394025,2.70786,3.28913,3.63519,3.88243,4.8908,2.54026,2.39577,2.09627,0.950592,0.394015
22,2.87728,3.36996,3.66228,3.87085,4.79178,2.23244,2.11092,1.85466,0.799713,0.331362,2.44004,2.933,3.22543,3.43405,4.22702,2.19328,2.07176,1.80589,0.799615,0.331356
36,2.80277,3.36749,3.70771,3.95196,5.25573,2.43359,2.28918,2.03799,0.949522,0.393799,2.28244,2.84763,3.18807,3.43244,4.58433,2.38703,2.24263,1.98027,0.949274,0.393783
1,3.5589,4.17196,4.53584,4.79551,5.95083,2.77184,2.62049,2.30343,0.995999,0.412703,3.01431,3.62771,3.99173,4.25147,5.24743,2.72307,2.57172,2.2427,0.995873,0.412695
38,3.47715,4.12077,4.50496,4.77975,6.11352,2.84018,2.67915,2.36841,1.05928,0.439073,2.89743,3.54152,3.9259,4.20078,5.36509,2.78827,2.62726,2.3039,1.05909,0.43906
0,2.918,3.47773,3.81301,4.05314,5.26714,2.44365,2.30246,2.04134,0.928632,0.384999,2.40953,2.96968,3.30515,3.54538,4.61083,2.39813,2.25696,1.98482,0.928439,0.384987
2,3.3728,3.82368,4.08852,4.27673,4.83112,2.26945,2.16081,1.86402,0.715323,0.296222,2.98239,3.43336,3.69822,3.88645,4.32635,2.23445,2.12581,1.82031,0.715298,0.296221
