real_name,TR1,STOR1
0,3.2809,0.0136311
1,0.1,0.0288835
2,2.69869,0.0145785
3,0.46136,0.0198882
4,104.305,0.010238
5,146.953,0.00283896
6,0.243875,0.0457807
7,0.826752,0.1
8,0.459853,2.7598e-05
9,0.387334,0.00288549
10,93.9722,0.00234987
11,1.24662,0.0218568
12,3.52645,0.1
13,1.71876,0.00515954
14,0.1,0.00087227
15,4.18852,0.1
16,246.535,0.084203
17,2.48243,0.1
18,8.82757,0.1
19,17.7151,0.0274755
20,32.0737,0.00744477
21,0.1,0.1
22,0.854375,0.0295027
23,0.935346,0.0466115
24,3.70983,0.0141054
25,30.1323,0.1
26,145.314,0.1
27,0.1,0.1
28,0.1,0.0136897
29,0.201636,0.000192918
30,127.13,0.000182032
31,0.1,0.000258857
32,356.497,0.00187128
33,43.906,0.00771258
34,84.9696,0.0212145
35,0.252441,0.00838551
36,0.1,0.0245037
37,10.069,0.0285162
38,11.0398,0.1
39,10.9521,1e-05
40,1063.6,8.03504e-05
41,104.296,0.0204346
42,4.98236,0.0253998
43,0.222601,0.1
44,1.58047,0.0843521
45,1.78327,0.0133682
46,15.2699,0.00269422
47,0.804734,0.0762516
48,0.71218,0.016002
BASE,5,0.01
