real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
0,1.30144,1.76945,2.05222,2.25586,6.11035,2.50431,2.06862,1.87935,1.7578,1.04821,0.193292,0.461227,0.666221,0.828182,3.91419,2.3159,1.91505,1.73564,1.63157,1.02589
1,0.002148,0.145125,0.672496,1.53312,46.144,40.0587,31.4466,25.841,21.9583,11.6495,5.85412e-28,2.94056e-14,1.27954e-09,2.88632e-07,4.32604,6.17389,7.70081,8.5058,8.7814,7.42721
2,1.37596,1.93232,2.27165,2.51647,6.89287,2.81171,2.28082,2.04825,1.91506,1.2029,0.150622,0.420851,0.644334,0.826552,4.23979,2.56989,2.09271,1.87571,1.75629,1.16775
3,0.997926,2.66588,4.01484,5.10462,22.2764,11.4866,8.18705,6.49734,5.45548,3.20333,5.08722e-05,0.00944534,0.0616652,0.167375,8.5907,7.97679,6.46375,5.40537,4.65956,2.78433
4,0.145692,0.185158,0.212575,0.233651,0.419873,0.189653,0.174605,0.162383,0.097716,0.0410505,0.0924087,0.130867,0.158087,0.179113,0.349561,0.184765,0.169739,0.156656,0.0974976,0.0410359
5,0.178887,0.219056,0.243701,0.261528,0.368587,0.169849,0.159112,0.143066,0.07051,0.0292771,0.140169,0.180362,0.205028,0.222868,0.318651,0.166384,0.155651,0.138796,0.0704791,0.0292751
6,0.0161309,0.298869,0.890019,1.61772,23.8871,18.3657,13.8519,11.1826,9.40496,4.87981,8.91942e-19,9.01274e-10,1.06207e-06,3.93163e-05,3.73874,4.84459,5.35858,5.358,5.15147,3.6395
7,0.0365379,0.283674,0.624997,0.971847,8.6074,5.84218,4.2854,3.41863,2.85574,1.4682,6.36232e-13,5.06324e-07,5.47813e-05,0.000612235,1.95696,2.3199,2.28627,2.1152,1.93217,1.20975
8,39.1695,49.6245,56.5479,61.7331,102.07,46.4268,43.0052,39.5944,22.3407,9.33278,26.8971,37.2608,44.1752,49.3618,86.1171,45.319,41.9003,38.2659,22.3102,9.33076
9,7.89747,11.6339,13.9489,15.6289,43.7847,17.8712,14.1338,12.4703,11.5635,7.68628,0.537928,1.92761,3.23012,4.34886,25.5146,16.0572,12.8117,11.2925,10.4582,7.35857
10,0.257767,0.318636,0.356453,0.383953,0.558896,0.256865,0.240081,0.217001,0.110131,0.0457675,0.197235,0.258108,0.295956,0.323479,0.48081,0.251447,0.23467,0.210349,0.110068,0.0457634
11,1.22971,2.19917,2.84776,3.33301,10.6706,4.62569,3.40916,2.83141,2.49964,1.73959,0.00984059,0.111656,0.280725,0.467525,5.27586,3.88354,2.98252,2.49829,2.20447,1.56888
12,0.248758,0.531585,0.736801,0.89542,3.2961,1.54828,1.1117,0.895742,0.766652,0.497181,0.000227192,0.00849543,0.032181,0.0661844,1.44967,1.20395,0.937383,0.775998,0.670473,0.434954
13,2.8974,3.80954,4.35698,4.75384,12.7685,5.28279,4.44728,4.08636,3.79,2.11844,0.58099,1.1896,1.62262,1.9559,8.55529,4.94318,4.15619,3.80843,3.57009,2.08795
14,27.5112,41.657,50.5073,56.9548,162.078,66.4123,51.8271,45.2691,41.697,28.3416,1.41034,5.87514,10.3911,14.397,91.8415,59.1044,46.6888,40.7679,37.4773,26.8981
15,0.260589,0.518375,0.699268,0.837215,2.91326,1.32471,0.958179,0.779516,0.674184,0.451818,0.00057987,0.0132682,0.0424836,0.0801544,1.34059,1.0645,0.821512,0.681125,0.591841,0.398692
16,0.0415403,0.0513005,0.0586165,0.0646576,0.145203,0.0641053,0.0578324,0.0546848,0.0393667,0.0171145,0.0208773,0.0294715,0.0362307,0.0419895,0.115503,0.0620245,0.0557848,0.0524881,0.039059,0.0170926
17,0.208457,0.534163,0.792209,0.998922,4.22616,2.14413,1.52855,1.215,1.02258,0.6105,1.83974e-05,0.00251598,0.0148108,0.0381405,1.66877,1.52191,1.2232,1.0199,0.878498,0.530566
18,0.256552,0.409493,0.507105,0.578779,1.70403,0.707419,0.539782,0.462948,0.420471,0.293051,0.00747571,0.04212,0.0829218,0.121567,0.920077,0.618405,0.481276,0.413367,0.37454,0.273385
19,0.365357,0.456787,0.513475,0.557324,1.47049,0.622347,0.539281,0.503468,0.445332,0.222098,0.11223,0.185983,0.234722,0.272598,1.05949,0.591841,0.511132,0.47586,0.430218,0.220627
20,0.358208,0.447654,0.5142,0.568189,1.19354,0.531172,0.482644,0.455023,0.309217,0.132419,0.194334,0.275757,0.339385,0.392118,0.965092,0.515226,0.466869,0.437523,0.307577,0.132306
21,1.27364e-11,6.61341e-06,0.000620292,0.00645253,16.8015,19.7799,19.3335,17.798,16.2063,10.056,1.63852e-94,8.49682e-48,3.76102e-32,2.71811e-24,0.0708796,0.17561,0.342287,0.568764,0.835758,2.14645
22,0.775103,1.82204,2.61722,3.24334,12.8538,6.29467,4.49576,3.59102,3.04195,1.88606,0.000210165,0.0153995,0.0733557,0.169602,5.33663,4.67081,3.69386,3.065,2.63977,1.64098
23,0.376069,1.10768,1.7289,2.24094,10.5027,5.61297,4.00335,3.16974,2.65087,1.50425,5.21457e-06,0.00200228,0.0167099,0.0513697,3.83681,3.70052,3.05788,2.57754,2.22873,1.30871
24,1.20262,1.61915,1.8702,2.05109,5.54055,2.27598,1.89047,1.72333,1.60978,0.942965,0.195339,0.445206,0.63218,0.778636,3.59516,2.11214,1.75496,1.59576,1.50029,0.924924
25,0.157924,0.209655,0.240742,0.263199,0.7085,0.292198,0.244645,0.224077,0.208591,0.118911,0.0290917,0.0621828,0.0862009,0.104806,0.468484,0.272507,0.228011,0.208284,0.195612,0.116981
