real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
BASE,3.00763,3.63223,4.0101,4.28185,5.78076,2.67333,2.51199,2.24226,1.06055,0.439961,2.42616,3.05126,3.42941,3.70131,5.03059,2.6213,2.45998,2.17784,1.06023,0.43994
20,2.86768,3.477,3.84695,4.1134,5.61986,2.59635,2.43758,2.18032,1.04335,0.432927,2.29539,2.90519,3.27542,3.54203,4.88163,2.54514,2.38641,2.117,1.043,0.432904
17,2.64315,3.15743,3.46595,3.68707,4.82284,2.23628,2.10608,1.86944,0.856281,0.355037,2.17419,2.68887,2.99758,3.21879,4.21759,2.1943,2.06412,1.81734,0.85609,0.355024
33,3.20888,3.82443,4.19314,4.45723,5.79236,2.68732,2.53204,2.2449,1.02125,0.423399,2.64969,3.26571,3.63463,3.89883,5.07059,2.63726,2.482,2.18274,1.02104,0.423385
35,3.60073,4.34639,4.79732,5.12155,6.90451,3.1934,3.00097,2.67807,1.26488,0.524714,2.90726,3.65354,4.10478,4.42919,6.00984,3.13134,2.93895,2.60123,1.26451,0.524689
42,2.9964,3.6838,4.10763,4.41484,6.30458,2.90207,2.71611,2.44747,1.22092,0.507117,2.3257,3.0134,3.43758,3.74503,5.43953,2.84206,2.65615,2.3736,1.22033,0.507078
25,3.1983,3.84274,4.23099,4.50972,5.9976,2.77711,2.6123,2.32566,1.08357,0.449395,2.60451,3.24948,3.63799,3.91686,5.23142,2.72397,2.55918,2.25979,1.08329,0.449376
22,2.77533,3.2856,3.59,3.80767,4.85592,2.2565,2.12902,1.88107,0.838633,0.347601,2.31642,2.82704,3.13159,3.34933,4.26342,2.21541,2.08794,1.82998,0.838489,0.347592
36,2.72334,3.30074,3.65119,3.90356,5.32706,2.46131,2.31099,2.06668,0.987874,0.409897,2.18151,2.75937,3.11008,3.36259,4.6281,2.41283,2.26254,2.00672,0.987546,0.409875
1,3.40431,4.00423,4.36089,4.61557,5.78135,2.69071,2.54203,2.23844,0.978253,0.405389,2.86928,3.46957,3.82638,4.08113,5.09039,2.64279,2.49413,2.17881,0.978116,0.40538
38,3.27189,3.82829,4.15826,4.39366,5.42387,2.52754,2.39044,2.09913,0.902219,0.373826,2.77864,3.33534,3.66544,3.90089,4.78674,2.48336,2.34627,2.04411,0.902112,0.373819
0,2.82667,3.3975,3.7415,3.98849,5.31016,2.45857,2.31249,2.05914,0.960451,0.398339,2.30034,2.87163,3.21586,3.46298,4.63102,2.41147,2.26541,2.00076,0.960197,0.398323
2,3.19049,3.65729,3.93216,4.1277,4.81276,2.25423,2.1411,1.85911,0.744778,0.308464,2.78382,3.25075,3.52568,3.72124,4.2871,2.21778,2.10466,1.81362,0.744736,0.308461
3,2.54589,3.23574,3.70691,4.06558,7.09247,3.2117,2.96342,2.74667,1.61575,0.677248,1.66182,2.33914,2.80822,3.1665,5.93342,3.13116,2.88319,2.65144,1.61271,0.677046
4,3.07305,3.76133,4.18339,4.48862,6.31641,2.91103,2.72731,2.45165,1.20658,0.500977,2.41054,3.09925,3.52166,3.82711,5.46194,2.85175,2.66809,2.37857,1.20606,0.500943
5,3.1615,3.71696,4.04712,4.28286,5.35794,2.49392,2.35633,2.07443,0.905305,0.375154,2.66638,3.22219,3.55248,3.78828,4.71852,2.44957,2.312,2.01924,0.905179,0.375146
6,2.91106,3.37103,3.64271,3.83622,4.60185,2.14992,2.03765,1.77937,0.73902,0.306134,2.50731,2.96747,3.23923,3.43277,4.08013,2.11375,2.00148,1.73427,0.738959,0.30613
7,2.87074,3.56267,3.99525,4.3107,6.36818,2.92325,2.72942,2.47274,1.27138,0.528588,2.17169,2.86339,3.29632,3.61203,5.46619,2.86066,2.66691,2.39607,1.27058,0.528535
8,3.1483,3.81393,4.21774,4.50848,6.14346,2.83887,2.66577,2.38335,1.1376,0.472008,2.52437,3.19053,3.59465,3.88556,5.3386,2.78304,2.60998,2.31429,1.13723,0.471984
9,2.15663,2.66295,2.97701,3.20523,4.64713,2.13648,1.99744,1.80427,0.912456,0.37915,1.65516,2.16156,2.47588,2.70429,4.00027,2.0916,1.95261,1.74915,0.911954,0.379117
10,3.17386,3.74166,4.07961,4.32105,5.44665,2.53355,2.39246,2.10923,0.928323,0.384724,2.66604,3.23421,3.57231,3.81382,4.7909,2.48808,2.34699,2.05266,0.928183,0.384715
11,2.91152,3.51564,3.88109,4.14389,5.5921,2.58618,2.43017,2.16906,1.02549,0.425415,2.34927,2.95389,3.3196,3.58254,4.86674,2.53587,2.37989,2.10678,1.02519,0.425395
12,2.82136,3.40513,3.75811,4.0119,5.4062,2.50051,2.3499,2.0969,0.989962,0.410665,2.27863,2.86287,3.2161,3.47003,4.706,2.45194,2.30137,2.03676,0.989669,0.410646
13,2.95847,3.63707,4.05546,4.35872,6.22384,2.86493,2.68137,2.41612,1.20518,0.500579,2.29642,2.97532,3.39405,3.69754,5.36995,2.80569,2.62218,2.34321,1.2046,0.50054
