real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
1,1.55146,2.00378,2.27548,2.47496,6.61973,2.75763,2.34503,2.16707,1.98916,1.07007,0.362646,0.687447,0.910848,1.08151,4.54731,2.59574,2.2025,2.02963,1.88999,1.05798
25,0.188318,0.243791,0.277096,0.301495,0.806881,0.335804,0.285183,0.263348,0.24213,0.130925,0.0431546,0.0826209,0.109879,0.130714,0.552449,0.315849,0.267676,0.246487,0.229794,0.129396
38,0.308611,0.441229,0.522575,0.581383,1.60471,0.654074,0.525419,0.468742,0.437234,0.281306,0.0283693,0.0868316,0.137438,0.179486,0.966449,0.593962,0.479809,0.427367,0.398699,0.271729
BASE,1.23939,1.54343,1.73373,1.88227,4.9508,2.10021,1.82441,1.70546,1.49779,0.739523,0.394063,0.64236,0.806343,0.934625,3.58969,1.99976,1.7312,1.61384,1.45004,0.735
0,1.39252,1.83595,2.10216,2.29491,6.16782,2.54943,2.14289,1.96721,1.82667,1.02685,0.272603,0.564989,0.774184,0.935463,4.11701,2.3833,2.00108,1.83202,1.71847,1.01155
2,1.53966,2.06735,2.38519,2.61427,7.0569,2.9009,2.41322,2.2019,2.05577,1.19812,0.256251,0.576803,0.815242,1.00159,4.59552,2.69465,2.24195,2.04039,1.91817,1.17589
3,1.805,3.14445,4.03052,4.69047,14.7178,6.30965,4.68044,3.9124,3.47483,2.43087,0.019611,0.188378,0.447011,0.722458,7.41602,5.34952,4.11259,3.46002,3.06913,2.20775
4,0.167921,0.21328,0.243909,0.267079,0.456828,0.207208,0.191467,0.177041,0.102574,0.0429371,0.111697,0.156414,0.186949,0.210109,0.38338,0.202105,0.186381,0.170975,0.102402,0.0429257
5,0.207349,0.251882,0.27897,0.298494,0.410174,0.189408,0.177752,0.15915,0.0765844,0.0317814,0.165332,0.209901,0.23701,0.256546,0.355978,0.185648,0.173996,0.154503,0.0765573,0.0317797
6,1.18456,2.16365,2.82477,3.32121,10.8084,4.72884,3.46909,2.86743,2.51988,1.74376,0.00738805,0.0960487,0.253134,0.431983,5.2653,3.93781,3.02393,2.5255,2.22004,1.56448
